"","doi","eligiblity","study_design","functional_outcome","functional_outcome_1","functional_outcome_2","functional_outcome_3","neurological_condition_1","neurological_condition_2","effect_estimate","roc_present","covariate_intent","figure_other","figure_other_outcome_1","figure_other_outcome_2","spbg_present","figure_identification_1","figure_outcome_1","stratified_1","unadjusted_1","adjusted_1","adjustment_method_1","additional_spbg_1","figure_identification_2","figure_outcome_2","stratified_2","unadjusted_2","adjusted_2","adjustment_method_2","additional_spbg_2","figure_identification_3","figure_outcome_3","stratified_3","unadjusted_3","adjusted_3","adjustment_method_3","additional_spbg_3","figure_identification_4","figure_outcome_4","stratified_4","unadjusted_4","adjusted_4","adjustment_method_4","additional_spbg_4","figure_identification_5","figure_outcome_5","stratified_5","unadjusted_5","adjusted_5","adjustment_method_5","additional_spbg_5","contains_adj_spbg","spbg_count","spbg_outcome","SPBG_outcome","analysis_sample"
"1","10.1161/STROKEAHA.121.034670","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","No","No","Yes","Regression;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,1,1,"mRS","mRS","primary"
"2","10.1001/jamaneurol.2021.3723","Yes","nested cohort","Bayley Scales of Infant Development III; Gross Motor Function Classification System (GMFCS);","Bayley III","GMFCS","","Neonatal hypoxic ischemic encephalopathy","","Risk ratio",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"3","10.1002/ana.25994","Yes","cohort","UPDRS (composite);UPDRS-III;","UPDRS (composite)","UPDRS-III","","Parkinson's disease","","Beta coefficient(s) only",0,"No","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"4","10.1161/STROKEAHA.120.032924","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",1,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"5","10.1161/STROKEAHA.120.032253","Yes","cohort","mRS;","mRS","",NA,"Stroke (all)","","Comparison of values between exposure status with p-value",0,"No","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"6","10.1161/STROKEAHA.121.034534","Yes","cohort","mRS","mRS",NA,NA,"Stroke (all)","","Mean difference",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"7","10.1161/STROKEAHA.120.031869","Yes","cohort","mRS","mRS",NA,NA,"Ischemic stroke","","Odds ratio",0,"Yes","Yes","mRS",NA,"Yes","Figure 2","mRS","No","Yes","No",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"8","10.1161/STROKEAHA.120.032025","Yes","cohort","NIHSS;","NIHSS","",NA,"Ischemic stroke","","Beta coefficient(s) only",0,"Yes","Yes","NIHSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"9","10.1161/STROKEAHA.120.030122","Yes","cohort","mRS","mRS",NA,NA,"Ischemic stroke",NA,"Odds ratio",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"10","10.1161/STROKEAHA.121.034572","Yes","cohort","mRS;","mRS","",NA,"Hemorrhagic stroke","","Odds ratio; risk ratio; mean difference",0,"Yes","Yes","mRS",NA,"Yes","Figure 2B top","mRS","No","Yes","No",NA,"Yes","Figure 2B bottom","mRS","No","No","Yes","IPTW;","No","","","","","","","","","","","","","","","","","","","","",NA,1,2,"mRS","mRS","primary"
"11","10.1001/jamaneurol.2020.2453","Yes","cohort","EDSS;MSSS;","EDSS","MSSS","","Multiple sclerosis","","Hazard ratio",0,"Yes","Yes","EDSS"," MSSS","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"12","10.1161/STROKEAHA.119.027895","Yes","cohort","NIHSS;mRS","NIHSS","mRS",NA,"Ischemic stroke","","Odds ratio",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"13","10.1161/STROKEAHA.119.027958","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure D","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"14","10.1161/STROKEAHA.120.032464","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"15","10.1161/STROKEAHA.119.028511","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"16","10.1212/WNL.0000000000012558","Yes","cohort","PedNIHSS; PSOM;","PedNIHSS","PSOM","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","PedNIHSS"," PSOM","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"17","10.1161/STROKEAHA.119.027451","Yes","cohort","mRS;","mRS","",NA,"Hemorrhagic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
