doi,rev1_ta,rev2_ta,rev1_ta_decision,rev2_ta_decision,ta_decision,rev1_ft,rev2_ft,rev1_ft_decision,rev2_ft_decision,ft_decision,rev1_ft_exrsn,rev2_ft_exrsn,exc_reason,jury_decision,conflict_excrsn,exrsn_final,abs_decision
10.1001/jamaneurol.2019.3292,mf,el,0,-1,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1001/jamaneurol.2019.4476,mf,el,0,-1,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1001/jamaneurol.2019.4838,mf,el,1,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1001/jamaneurol.2019.5061,mf,el,0,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1001/jamaneurol.2020.2453,mf,et,0,-1,ft_scrn,mf,et,1,1,include,NULL,"""wrong publication type""",included,,,0,1
10.1001/jamaneurol.2021.0001,mf,et,1,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1001/jamaneurol.2021.0023,mf,el,0,-1,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1001/jamaneurol.2021.0084,mf,el,1,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1001/jamaneurol.2021.1008,mf,et,0,1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1001/jamaneurol.2021.1437,mf,el,1,-1,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1001/jamaneurol.2021.3723,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1002/ana.25669,mf,el,1,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1002/ana.25691,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1002/ana.25716,mf,el,0,1,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1002/ana.25718,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1002/ana.25994,mf,el,0,-1,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1002/ana.26052,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1002/ana.26219,mf,et,0,1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1002/mds.28080,mf,el,0,0,ft_scrn,mf,ef,1,1,include,,,included,,,0,1
10.1002/mds.28339,mf,el,0,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1002/mds.28349,mf,el,0,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1002/mds.28510,mf,el,0,0,ft_scrn,mf,ef,1,1,include,,,included,,,0,1
10.1002/mds.28652,mf,el,0,0,ft_scrn,mf,ef,1,1,include,,,included,,,0,1
10.1002/mds.28763,mf,el,0,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1002/mds.28805,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1016/j.brs.2019.11.009,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1016/j.brs.2020.09.019,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1016/S1474-4422(20)30067-3,mf,et,1,0,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1093/brain/awaa162,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1093/brain/awab043,mf,el,0,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1136/jnnp-2019-321496,mf,et,1,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1136/jnnp-2019-321697,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1136/jnnp-2019-321774,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1136/jnnp-2019-322326,mf,el,0,-1,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1136/jnnp-2019-322348,mf,el,0,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1136/jnnp-2019-322439,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1136/jnnp-2020-323472,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1136/jnnp-2020-323742,mf,el,1,-1,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1136/jnnp-2020-323899,mf,el,0,-1,ft_scrn,mf,ef,1,1,include,,,included,,,0,1
10.1136/jnnp-2020-324266,mf,et,0,-1,ft_scrn,mf,et,1,1,include,NULL,NULL,included,,,0,1
10.1136/jnnp-2020-324741,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1136/jnnp-2020-325141,mf,el,-1,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1136/jnnp-2020-325284,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1136/jnnp-2020-325421,mf,el,0,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1136/jnnp-2020-325610,mf,el,0,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1136/jnnp-2020-325815,mf,et,1,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1136/svn-2019-000319,mf,el,0,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1136/svn-2020-000332,mf,el,1,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1136/svn-2020-000343,mf,el,1,-1,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1136/svn-2020-000362,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1136/svn-2020-000401,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1136/svn-2020-000471,mf,et,1,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1136/svn-2020-000570,mf,el,0,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1136/svn-2020-000641,mf,et,0,1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1136/svn-2020-000656,mf,el,0,-1,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1136/svn-2020-000684,mf,et,0,0,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1136/svn-2020-000852,mf,el,0,-1,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1136/svn-2021-000949,mf,et,1,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.025554,mf,el,0,1,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.026437,mf,el,0,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.026596,mf,et,0,0,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.026769,mf,el,0,1,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.026886,mf,et,1,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.026907,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.027011,mf,el,0,0,ft_scrn,mf,ef,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.027012,mf,et,0,0,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.027255,mf,el,0,-1,ft_scrn,mf,ef,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.027451,mf,el,0,-1,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.027472,mf,el,0,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.027549,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.027740,mf,el,0,1,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.027895,mf,et,1,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.027958,mf,et,0,1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.027974,mf,el,0,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.027981,mf,el,0,-1,ft_scrn,mf,ef,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.028161,mf,el,0,-1,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.028231,mf,et,1,0,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.028246,mf,et,0,1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.028511,mf,el,0,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.028532,mf,el,0,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.028562,mf,el,1,0,ft_scrn,mf,el,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.028586,mf,el,0,0,ft_scrn,mf,ef,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.028787,mf,et,0,1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.119.028891,mf,et,1,0,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.120.026425,mf,el,0,0,ft_scrn,mf,ef,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.120.028972,mf,et,0,1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
10.1161/STROKEAHA.120.029025,mf,et,0,-1,ft_scrn,mf,et,1,1,include,,,included,,,0,1
